candidate_name,startdate,enddate,pollster,samplesize,pct
David A. Perdue,12/30/20,01/03/21,Targoz Market Research,713,50
Jon Ossoff,12/30/20,01/03/21,Targoz Market Research,713,50
Kelly Loeffler,12/30/20,01/03/21,Targoz Market Research,713,49
Raphael Warnock,12/30/20,01/03/21,Targoz Market Research,713,51
David A. Perdue,12/30/20,01/03/21,U of Nevada Las Vegas,550,49
Jon Ossoff,12/30/20,01/03/21,U of Nevada Las Vegas,550,48
Kelly Loeffler,12/30/20,01/03/21,U of Nevada Las Vegas,550,49
Raphael Warnock,12/30/20,01/03/21,U of Nevada Las Vegas,550,48
David A. Perdue,12/25/20,01/01/21,AtlasIntel,1680,47
Jon Ossoff,12/25/20,01/01/21,AtlasIntel,1680,51
Kelly Loeffler,12/25/20,01/01/21,AtlasIntel,1680,47
Raphael Warnock,12/25/20,01/01/21,AtlasIntel,1680,51
David A. Perdue,12/29/20,12/30/20,Gravis Marketing,1011,47
Jon Ossoff,12/29/20,12/30/20,Gravis Marketing,1011,50
Kelly Loeffler,12/29/20,12/30/20,Gravis Marketing,1011,47
Raphael Warnock,12/29/20,12/30/20,Gravis Marketing,1011,49
David A. Perdue,12/18/20,12/22/20,Mellman Group,578,47
Jon Ossoff,12/18/20,12/22/20,Mellman Group,578,50
Kelly Loeffler,12/18/20,12/22/20,Mellman Group,578,47
Raphael Warnock,12/18/20,12/22/20,Mellman Group,578,50
David A. Perdue,12/28/20,12/29/20,JMC Analytics,500,45
Jon Ossoff,12/28/20,12/29/20,JMC Analytics,500,53
Kelly Loeffler,12/28/20,12/29/20,JMC Analytics,500,45
Raphael Warnock,12/28/20,12/29/20,JMC Analytics,500,54
David A. Perdue,12/23/20,12/27/20,Trafalgar Group,1022,48
Jon Ossoff,12/23/20,12/27/20,Trafalgar Group,1022,50
Kelly Loeffler,12/23/20,12/27/20,Trafalgar Group,1022,49
Raphael Warnock,12/23/20,12/27/20,Trafalgar Group,1022,50
David A. Perdue,12/21/20,12/27/20,Open Model Project,1405,50
Jon Ossoff,12/21/20,12/27/20,Open Model Project,1405,46
Kelly Loeffler,12/21/20,12/27/20,Open Model Project,1405,50
